FeatureID,RP_S37,RP_S38,RP_S39,RP_S40,RP_S41,RP_S42,RP_S43,RP_S44,RP_S45,RP_S46,RP_S47,RP_S48,RP_S49,RP_S50,RP_S51,RP_S52,RP_S53,RP_S54,RP_S55,RP_S56,RP_S57,RP_S58,RP_S59,RP_S60,RP_S61,RP_S62,RP_S63,RP_S64,RP_S65,RP_S66,RP_S67,RP_S68,RP_S69,RP_S70,RP_S71,RP_S72
Feature0251,125582462.3,54334392.27,39105996.3,38002303.28,159433165.7,129626646,66514954.38,49851301.19,98971340.48,35167792.89,59340807.38,64295310.77,87199954.42,43018733.68,53461934.48,48030037.86,39759568.28,45146354.88,45682335.56,38661933.83,30165960.32,37610107.77,60148621.61,99851771.44,38044459.8,35689161.74,86068962.18,184807022.4,86020578.35,28003957.34,169517549,133373881.9,34922707.13,63567546.63,34545487.11,40128525.13
Feature0250,25863520.12,29316312.31,25678886.68,20304114.15,49420611.76,34787961.43,39537202.14,21048516.26,36059172.29,19050145.09,32601695.71,24451466.49,118408217.8,20852206.99,22937443.43,20830006.95,26188808.91,20510317.39,21467204.69,19582052.62,14350091.12,17657900.58,21358368.87,107968974.6,18684481.03,21033510.89,24226491.95,50618645.65,57454618.69,11527202.81,37027789.54,37605052.13,18651526.78,24585122.81,14003666.19,23771918.89
Feature0249,65054267.2,56934824.15,40805308.15,41358064.3,110999224.9,77745270.47,72417983.3,45203695.39,77760664.51,46118140.23,63087518.55,69798368.91,88784057.34,64378283.61,65574113.11,57203340.89,54253226.18,38282272.1,45882422.85,47577279.82,34187045.21,36444403.9,68333517.06,87643047.86,39361476.18,37291234.73,64466152.96,102619605.9,71835304.09,32165775.69,113266550.8,104131983.1,53338804.01,63874503.16,42976413.92,56898986.61
Feature0248,82749054.18,114102970.4,101817617.2,90470078.42,114096417.5,132790783.1,127065080.2,103278770,158759874.3,176315527.1,198436975.5,163540803.3,161316914.5,180893061.9,178171142.1,161827514.8,161121111,120213720,137316361,124657103.1,60247645.91,67353657.61,64889940.12,61183500.97,75649216.23,83367930.4,66675355.95,101976167,93470215.63,111887934.8,81012107.12,66752550.57,69716443.93,87349403.52,70062972.7,89991735.24
Feature0247,25189488.04,25428379.05,25041608.93,25711629.86,25313308.25,38893215.45,26096763.81,23421708.36,27583959.83,26408244.62,28098115.18,25129007.32,30443577.79,26332082.86,29298494.25,33075449.21,25647384.81,23127451.82,23160249,27114116.32,22409628.6,24139904.66,23968309.47,23264134.9,20952018.99,19909217.99,14618877.98,20049767.04,6567845.732,10027546.8,14916294.09,17031203.95,23040167.78,22089273.53,20344622.65,22727300.21
Feature0246,108062968.3,91662785.9,105339453.1,71569732.2,89151905.11,76721730.84,64845255.08,74405054.06,96581014.34,88257624.54,97193803.02,91544032.78,99132135.1,97868173.3,93564347.46,88773811.57,103729771.7,100752824.2,89264773.2,92733260.34,88348487.41,98421478.07,105137455.7,93999100.39,106268342.2,97055791.92,84738835.68,86284934.17,81413575.76,73795220.77,99062746.28,113859159.3,106809723.1,94771384.99,95192656.28,115026817.6
Feature0245,33700537.8,33290842.09,36443947.28,29555560.86,33824091.33,26706280.81,33273758.38,35054874.6,28720435.98,29441859.96,28775524.09,26897480.01,24428879.36,26373650.85,24353132.73,25043782.38,30170830.83,27179155.79,28499353.03,27979708.56,18540253.63,14461943.35,17742591.34,16696785.41,18671599.7,17922345.84,16803229.08,17579601.91,22881306.16,15891780.02,13048157.96,15314168.93,20313043.55,21061957.17,19280446.37,16778736.39
Feature0244,578505.1509,581466.0946,562342.184,655609.5368,1039419.434,620369.0086,611236.2477,611813.8068,601006.567,622272.2176,718726.8768,701911.0242,660385.4126,659798.1456,674498.615,603094.0987,666268.7489,614372.8384,686610.5718,668962.7032,575952.2185,592810.9106,579396.5241,555650.9524,607154.5074,718448.3065,532230.2768,613574.7579,592328.4564,562144.8149,538434.0548,552520.5872,566820.3084,572134.9209,510533.5091,578681.5751
Feature0243,94867555.54,104620586.9,89658701.55,88927917.8,98464911.83,135718971.3,131626611.8,104822224.9,354630772.8,376687117.4,447348320.1,302743256.6,269229487.2,292512124.2,318320771.7,300017185.8,318551632.2,314967306.1,299502703.2,242735646.8,89762001.81,119453786.4,113174281.7,101607995.9,84129461.07,96524253.77,88812796.23,94677519.69,25952073.11,39253793.52,19712793.6,22327313.34,20353131.29,54131462.51,93506398.23,104178290.8
Feature0242,14116701.36,14925758.3,12904561.48,13445801.27,15513439.42,17437613.73,21315099.59,16002648.68,28807739.53,34746244.95,40459125.62,35405023.7,33523468.47,47618787.98,36387538.87,35778356.09,37474511.51,19416584.9,37945161.33,29572942.37,11132942.74,12596033.5,12030412.79,10020344.17,11025872.33,8786869.806,9382917.64,7945891.857,4660442.5,8098957.12,4143259.216,4336931.666,4578233.422,7727514.517,8326584.521,11606297.21
